Drug.Name,Drug.Sales
Humira,8290106091.00
Abilify,7995192015.00
Sovaldi,6957331432.00
Crestor,5958997432.00
Enbrel,5953627734.00
Harvoni,5398133616.00
Nexium,5394307899.00
Advair Diskus,4789231826.00
Lantus Solostar,4770782304.00
Remicade,4614448608.00
Copaxone,4182899363.00
Neulasta,3922031456.00
Januvia,3614160358.00
Lantus,3566103749.00
Rituxan,3544238274.00
Spiriva Handihaler,3376228289.00
Lyrica,3266031544.00
Tecfidera,3099936398.00
Atripla,2978855683.00
Avastin,2965061371.00
Truvada,2578983746.00
Gleevec,2503368238.00
Epogen,2473399804.00
Oxycontin,2465943666.00
Symbicort,2360996657.00
Herceptin,2298726899.00
Xarelto,2284828697.00
Vyvanse,2160713724.00
Zetia,2084878153.00
Novolog Flexpen,2057726217.00
Celebrex,1910900690.00
Lucentis,1846895026.00
Olysio,1841298803.00
Humalog,1777573187.00
Novolog,1682412487.00
Stelara,1681699491.00
Tysabri,1567603895.00
Victoza 3-Pak,1551256216.00
Stribild,1521776680.00
Humalog Kwikpen,1502106919.00
Gilenya,1473842883.00
Namenda,1467285489.00
Cialis,1444220727.00
Suboxone,1425290432.00
Prevnar 13,1396162844.00
Viagra,1352420339.00
Seroquel XR,1348914720.00
Avonex Pen,1265072458.00
Latuda,1255720111.00
Renvela,1238809132.00
Alimta,1228896729.00
Levemir Flextouch,1191214618.00
Janumet,1186223316.00
Prezista,1180847342.00
Flovent HFA,1164131971.00
Nasonex,1152398925.00
Orencia,1143314317.00
Dexilant,1112428137.00
Zytiga,1070295487.00
Tamiflu,1062635381.00
Invega Sustenna,1060318741.00
Avonex,1056780770.00
Vesicare,1039389101.00
Revlimid,1029532746.00
Isentress,1029298768.00
Synthroid,1022330768.00
Sensipar,981745658.00
Benicar,980584320.00
Diovan,976553203.00
Invokana,970548874.00
Complera,959404062.00
Procrit,952064680.00
Xolair,947519208.00
Xgeva,931245431.00
Combivent Respimat,911002564.00
Levemir Flexpen,897404938.00
Cimzia,882246079.00
Reyataz,864112503.00
Pradaxa,861575903.00
Afinitor,847476278.00
Aranesp,840688834.00
Ventolin HFA,836444530.00
Bystolic,834232105.00
Neupogen,809055804.00
Gardasil,806914360.00
Levemir,804193630.00
Sprycel,797720901.00
Xifaxan,767934882.00
Strattera,762979130.00
Benicar HCT,759903978.00
Prolia,757969582.00
Namenda XR,752841699.00
Vytorin,749130132.00
Eliquis,746321783.00
Yervoy,743127508.00
Sandostatin Lar,738303189.00
Pristiq,737859917.00
Welchol,723662256.00
Zostavax,712431619.00
Treanda,706972581.00
