"","Covered_Recipient_Type","Teaching_Hospital_CCN","Teaching_Hospital_ID","Teaching_Hospital_Name","Recipient_Primary_Business_Street_Address_Line1","Recipient_Primary_Business_Street_Address_Line2","Recipient_City","Recipient_State","Recipient_Zip_Code","Submitting_Applicable_Manufacturer_or_Applicable_GPO_Name","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Country","Total_Amount_of_Payment_USDollars","Date_of_Payment","Number_of_Payments_Included_in_Total_Amount","Form_of_Payment_or_Transfer_of_Value","Nature_of_Payment_or_Transfer_of_Value","City_of_Travel","State_of_Travel","Country_of_Travel","Physician_Ownership_Indicator","Third_Party_Payment_Recipient_Indicator","Name_of_Third_Party_Entity_Receiving_Payment_or_Transfer_of_Value","Charity_Indicator","Third_Party_Equals_Covered_Recipient_Indicator","Contextual_Information","Delay_in_Publication_Indicator","Record_ID","Product_Indicator","Name_of_Associated_Covered_Drug_or_Biological1","Name_of_Associated_Covered_Drug_or_Biological2","Name_of_Associated_Covered_Drug_or_Biological3","Name_of_Associated_Covered_Drug_or_Biological4","Name_of_Associated_Covered_Drug_or_Biological5","NDC_of_Associated_Covered_Drug_or_Biological1","NDC_of_Associated_Covered_Drug_or_Biological2","NDC_of_Associated_Covered_Drug_or_Biological3","NDC_of_Associated_Covered_Drug_or_Biological4","NDC_of_Associated_Covered_Drug_or_Biological5","Name_of_Associated_Covered_Device_or_Medical_Supply1","Name_of_Associated_Covered_Device_or_Medical_Supply2","Name_of_Associated_Covered_Device_or_Medical_Supply3","Name_of_Associated_Covered_Device_or_Medical_Supply4","Name_of_Associated_Covered_Device_or_Medical_Supply5","address","lon","lat"
"1","Covered Recipient Teaching Hospital",500054,2832,"PROV SACRED HEART MEDICAL CENTER","101 W 8th Ave","","Spokane","WA","99204","BTG International, Inc.",100000011032,"EKOS Corporation","WA","United States",121.74,"03/12/2015",1,"Cash or cash equivalent","Travel and Lodging","SPOKANE","WA","United States","","No Third Party Payment","","","","","No",340062144,"Covered","","","","","","","","","","","EKOSONIC","","","","","101 W 8th Ave, Spokane, WA 99204",-117.4134726,47.6491384
"2","Covered Recipient Teaching Hospital",500008,3431,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE Pacific St","EE315","Seattle","WA","98195","Beckman Coulter, Inc.",100000010876,"Beckman Coulter, Inc.","CA","United States",94,"09/22/2015",1,"In-kind items and services","Travel and Lodging","Seattle","WA","United States","","No Third Party Payment","","","","","No",333364886,"Covered","","","","","","","","","","","Clinical Automation","","","","","1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"3","Covered Recipient Teaching Hospital",500129,3423,"TACOMA GENERAL ALLENMORE HOSPITAL","315 Martin Luther King Jr Way","","Tacoma","WA","98405","Sysmex America, Inc.",100000005567,"Sysmex America, Inc.","IL","United States",396.44,"11/04/2015",1,"Cash or cash equivalent","Travel and Lodging","Chicago","IL","United States","","No Third Party Payment","","","","","No",322172798,"None","","","","","","","","","","","WAM","","","","","315 Martin Luther King Jr Way, Tacoma, WA 98405",-122.4529682,47.2593601
"4","Covered Recipient Teaching Hospital",500008,3431,"University Of Washington Med Ctr","1959 NE Pacific St","","Seattle","WA","98195","Kuraray America Inc.",100000010536,"Kuraray America Inc.","NY","United States",3196.39,"12/22/2015",1,"Cash or cash equivalent","Travel and Lodging","Irvine","CA","United States","","No Third Party Payment","","No","","","No",293275084,"Non-covered","","","","","","","","","","","","","","","","1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"5","Covered Recipient Teaching Hospital",500054,2832,"PROV SACRED HEART MEDICAL CENTER","101 W 8th Ave","","Spokane","WA","99204","Beckman Coulter, Inc.",100000010876,"Beckman Coulter, Inc.","CA","United States",127.88,"09/23/2015",1,"In-kind items and services","Travel and Lodging","Chicago","IL","United States","","No Third Party Payment","","","","","No",333365218,"Covered","","","","","","","","","","","Chemistry","","","","","101 W 8th Ave, Spokane, WA 99204",-117.4134726,47.6491384
"6","Covered Recipient Teaching Hospital",503300,3415,"SEATTLE CHILDRENS HOSPITAL","4800 SANDPOINT WAY NE","5371","SEATTLE","WA","98105","Pfizer Inc.",100000000286,"Pfizer Inc.","NY","United States",2000,"09/30/2015",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","","","No Third Party Payment","","","","","No",323381212,"Covered","GENOTROPIN","","","","","0013-2626-81","","","","","","","","","","4800 SANDPOINT WAY NE, SEATTLE, WA 98105",-122.283265,47.6626378
"7","Covered Recipient Teaching Hospital",500005,3416,"VIRGINIA MASON MEDICAL CENTER","925 SENECA STREET","","SEATTLE","WA","98111","BOSTON SCIENTIFIC CORPORATION",100000005674,"Boston Scientific Corporation","MA","United States",144,"11/06/2015",1,"Cash or cash equivalent","Travel and Lodging","MINNETONKA","MN","United States","","No Third Party Payment","","","","","No",246134076,"Covered","","","","","","","","","","","OTHER","","","","","925 SENECA STREET, SEATTLE, WA 98111",-122.327633,47.6100079
"8","Covered Recipient Teaching Hospital",500024,3418,"PROVIDENCE ST. PETER HOSPITAL","413 Lilly Rd NE","","Olympia","WA","98506","Beckman Coulter, Inc.",100000010876,"Beckman Coulter, Inc.","CA","United States",90,"09/28/2015",1,"In-kind items and services","Travel and Lodging","Chicago","IL","United States","","No Third Party Payment","","","","","No",333365040,"Covered","","","","","","","","","","","Clinical Automation","","","","","413 Lilly Rd NE, Olympia, WA 98506",-122.8465012,47.0530145
"9","Covered Recipient Teaching Hospital",500008,3431,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE Pacific St","EE315","Seattle","WA","98195","Beckman Coulter, Inc.",100000010876,"Beckman Coulter, Inc.","CA","United States",90,"09/24/2015",1,"In-kind items and services","Travel and Lodging","Seattle","WA","United States","","No Third Party Payment","","","","","No",333364890,"Covered","","","","","","","","","","","Clinical Automation","","","","","1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"10","Covered Recipient Teaching Hospital",500024,3418,"PROVIDENCE ST. PETER HOSPITAL","413 Lilly Rd NE","","Olympia","WA","98506","Beckman Coulter, Inc.",100000010876,"Beckman Coulter, Inc.","CA","United States",94,"09/23/2015",1,"In-kind items and services","Travel and Lodging","Chicago","IL","United States","","No Third Party Payment","","","","","No",333365036,"Covered","","","","","","","","","","","Clinical Automation","","","","","413 Lilly Rd NE, Olympia, WA 98506",-122.8465012,47.0530145
"11","Covered Recipient Teaching Hospital",500008,3431,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE PACIFIC ST B242","BOX 357136","SEATTLE","WA","98195-7136","Dental Material Gesellschaft mbH",100000010532,"Dental Material Gesellschaft mbH","","Germany",250.64,"03/16/2015",1,"Cash or cash equivalent","Travel and Lodging","Boston","MA","United States","","No Third Party Payment","","No","","","No",230612586,"Covered","","","","","","","","","","","Icon","Luxatemp","Honigum","LuxaCore","","1959 NE PACIFIC ST B242, SEATTLE, WA 98195-7136",-122.3091341,47.6506935
"12","Covered Recipient Teaching Hospital",500054,2832,"PROV SACRED HEART MEDICAL CENTER","101 W 8th Ave","","Spokane","WA","99204","Beckman Coulter, Inc.",100000010876,"Beckman Coulter, Inc.","CA","United States",117.08,"09/25/2015",1,"In-kind items and services","Travel and Lodging","Chicago","IL","United States","","No Third Party Payment","","","","","No",333365222,"Covered","","","","","","","","","","","Chemistry","","","","","101 W 8th Ave, Spokane, WA 99204",-117.4134726,47.6491384
"13","Covered Recipient Teaching Hospital",500027,3414,"SWEDISH MEDICAL CENTER","747 BROADWAY","","SEATTLE","WA","98122","Genentech, Inc.",100000000226,"Genentech USA, Inc.","CA","United States",1500,"07/13/2015",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","","","No Third Party Payment","","","","","No",317941114,"Covered","Avastin","","","","","50242-061-01","","","","","","","","","","747 BROADWAY, SEATTLE, WA 98122",-122.3220878,47.6088589
"14","Covered Recipient Teaching Hospital",500005,3416,"VIRGINIA MASON MEDICAL CENTER","925 SENECA STREET","","SEATTLE","WA","98111","BOSTON SCIENTIFIC CORPORATION",100000005674,"Boston Scientific Corporation","MA","United States",2800,"11/06/2015",1,"Cash or cash equivalent","Consulting Fee","","","","","No Third Party Payment","","","","","No",246134072,"Covered","","","","","","","","","","","OTHER","","","","","925 SENECA STREET, SEATTLE, WA 98111",-122.327633,47.6100079
"15","Covered Recipient Teaching Hospital",500008,3431,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE PACIFIC ST","","SEATTLE","WA","98195","Genentech, Inc.",100000000089,"Genentech, Inc.","CA","United States",1e+05,"12/18/2015",1,"Cash or cash equivalent","Consulting Fee","","","","","No Third Party Payment","","","","","No",317908785,"Non-covered","NonCovered Product","","","","","","","","","","","","","","","1959 NE PACIFIC ST, SEATTLE, WA 98195",-122.3091341,47.6506935
"16","Covered Recipient Teaching Hospital",500008,3431,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE Pacific St","325 9TH AVE   359750","Seattle","WA","98195","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",439.92,"05/20/2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","","","No Third Party Payment","","","","","No",312307416,"Covered","","","","","","","","","","","Controls","","","","","1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"17","Covered Recipient Teaching Hospital",500054,2832,"PROV SACRED HEART MEDICAL CENTER","101 W. 8TH AVE.","2555","SPOKANE","WA","99220","Janssen Pharmaceuticals, Inc",100000000232,"Janssen Pharmaceuticals, Inc","NJ","United States",229,"07/22/2015",1,"In-kind items and services","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","","","No Third Party Payment","","No","","Vendor Credentialing Fees","No",275934616,"Covered","Xarelto","","","","","5045-8580-30","","","","","","","","","","101 W. 8TH AVE., SPOKANE, WA 99220",-117.4134726,47.6491384
"18","Covered Recipient Teaching Hospital",500008,3431,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE Pacific St","","Seattle","WA","98195","Cook Incorporated",100000010458,"Cook Incorporated","IN","United States",2500,"10/08/2015",1,"Cash or cash equivalent","Education","","","","","No Third Party Payment","","","","Cook Medical provides clinicians with training on the use of our products and devices, which can be complex and take practice to master. Training ensures that clinicians understand the capabilities and limitations of a product or device before using it on a patient. We provide reasonable and necessary travel, lodging, and meals for physicians who attend or teach at these courses, activities, or events.","No",336565880,"Covered","","","","","","","","","","","AI - AAA","","","","","1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"19","Covered Recipient Teaching Hospital",500027,3414,"SWEDISH MEDICAL CENTER","747 Broadway","","Seattle","WA","98122","Otsuka America Pharmaceutical, Inc.",100000010723,"Otsuka America Pharmaceutical, Inc.","MD","United States",500,"05/05/2015",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","","","No Third Party Payment","","","","","No",333575810,"Covered","SAMSCA","","","","","59148-020-50","","","","","","","","","","747 Broadway, Seattle, WA 98122",-122.3220878,47.6088589
"20","Covered Recipient Teaching Hospital",500008,3431,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE Pacific St","325 9TH AVE   359750","Seattle","WA","98195","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",2520.93,"04/22/2015",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","","","No Third Party Payment","","","","","No",312309708,"Covered","","","","","","","","","","","Controls","","","","","1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"21","Covered Recipient Teaching Hospital",500008,3431,"UNIVERSITY OF WASHINGTON MED CTR","2","","SEATTLE","WA","98105","Zimmer Biomet Holdings, Inc.",100000000103,"Zimmer Biomet Holdings, Inc.","IN","United States",572.99,"08/15/2015",1,"Cash or cash equivalent","Grant","","","","","No Third Party Payment","","","","","No",301066027,"Covered","","","","","","","","","","","Hips","","","","","2, SEATTLE, WA 98105",-122.3272747,47.6596048
"22","Covered Recipient Teaching Hospital",500008,3431,"UNIVERSITY OF WASHINGTON MED CTR","2","","SEATTLE","WA","98105","Zimmer Biomet Holdings, Inc.",100000000103,"Zimmer Biomet Holdings, Inc.","IN","United States",1602.46,"02/01/2015",1,"Cash or cash equivalent","Grant","","","","","No Third Party Payment","","","","","No",301061038,"Covered","","","","","","","","","","","Hips","","","","","2, SEATTLE, WA 98105",-122.3272747,47.6596048
"23","Covered Recipient Teaching Hospital",500008,3431,"UNIVERSITY OF WASHINGTON MED CTR","2","","SEATTLE","WA","98195","DePuy Synthes Sales Inc.",100000005706,"DePuy Orthopaedics Inc.","IN","United States",8000,"06/22/2015",1,"Cash or cash equivalent","Grant","","","","","No Third Party Payment","","No","","Educational","No",267211328,"Covered","","","","","","","","","","","Trauma","","","","","2, SEATTLE, WA 98195",-121.3605331,47.7116801
"24","Covered Recipient Teaching Hospital",500027,3414,"SWEDISH MEDICAL CENTER","747 BROADWAY","","SEATTLE","WA","98122","Amgen Inc.",100000000203,"Amgen Inc.","CA","United States",1500,"03/13/2015",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","","","No Third Party Payment","","No","","","No",297934034,"Covered","Nexavar","","","","","50419-488-58","","","","","","","","","","747 BROADWAY, SEATTLE, WA 98122",-122.3220878,47.6088589
