Drug.Name,Monthly.Prescriptions
Synthroid,"23,452,848"
Crestor,"23,292,568"
Nexium,"20,156,519"
Cymbalta,"18,864,818"
Ventolin Hfa,"17,371,422"
Advair Diskus,"16,290,417"
Diovan,"12,656,244"
Vyvanse,"10,525,976"
Lyrica,"9,560,440"
Spiriva Handihaler,"9,516,246"
Lantus Solostar,"9,365,899"
Lantus,"9,276,262"
Celebrex,"9,205,630"
Abilify,"8,964,479"
Januvia,"8,685,759"
Namenda,"8,545,395"
Nasonex,"8,144,373"
Viagra,"7,671,000"
Zetia,"7,654,329"
Cialis,"7,523,724"
Suboxone,"7,494,065"
Bystolic,"6,823,634"
Symbicort,"6,155,515"
Flovent Hfa,"6,034,261"
Oxycontin,"5,926,600"
Tamiflu,"5,573,597"
Nuvaring,"5,251,818"
Dexilant,"5,151,097"
Afluria,"5,088,178"
Levemir,"4,946,820"
Benicar,"4,941,124"
Proventil Hfa,"4,487,576"
Premarin,"4,423,103"
Thyroid,"4,417,055"
Voltaren Gel,"4,361,311"
Novolog,"4,160,063"
Vesicare,"4,038,929"
Novolog Flexpen,"3,904,106"
Benicar Hct,"3,864,614"
Humalog,"3,588,291"
Xarelto,"3,584,743"
Vytorin,"3,483,951"
Lunesta,"3,443,227"
Focalin Xr,"3,437,424"
Toprol-Xl,"3,363,632"
Ortho-Tri-Cy Lo 28,"3,336,409"
Pristiq,"3,322,816"
Lumigan,"3,255,306"
Loestrin 24 Fe,"3,224,378"
Janumet,"3,171,889"
Lo Loestrin Fe,"3,092,756"
Travatan Z,"3,026,842"
Evista,"2,947,634"
Pataday,"2,780,125"
Avodart,"2,689,644"
Pradaxa,"2,580,518"
Zostavax,"2,521,291"
Seroquel Xr,"2,515,894"
Strattera,"2,509,390"
Humalog Kwikpen,"2,317,553"
Detrol La,"2,203,287"
Chantix,"2,186,881"
Xopenex Hfa,"2,066,174"
Exforge,"1,952,589"
Combivent Respimat,"1,941,907"
Exelon,"1,896,536"
Humira,"1,869,383"
Welchol,"1,834,562"
Combigan,"1,790,758"
Victoza 3-Pak,"1,770,921"
Onglyza,"1,726,906"
Premarin Vaginal,"1,719,938"
Lipitor,"1,706,228"
Trilipix,"1,668,031"
Actonel,"1,656,159"
Enbrel,"1,647,506"
Truvada,"1,598,212"
Combivent,"1,568,466"
Aciphex,"1,563,732"
Alphagan P,"1,524,870"
Azor,"1,516,004"
Dulera,"1,494,050"
Micardis,"1,481,385"
Ranexa,"1,462,285"
Viibryd,"1,459,314"
Norvir,"1,452,569"
Patanol,"1,417,850"
Effient,"1,415,883"
Aggrenox,"1,389,839"
Advair Hfa,"1,328,487"
Amitiza,"1,305,080"
Prempro Low Dose,"1,274,042"
Atripla,"1,269,883"
Lotemax,"1,265,850"
Asmanex Twisthaler,"1,249,428"
Tradjenta,"1,238,074"
Ortho Evra 3,"1,233,388"
Uloric,"1,219,323"
Diovan Hct,"1,217,689"
Levitra,"1,207,939"
